SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,13829495628,1,매번 쓰던 상품입니다,좋습니다,판매자님의 손글씨 편지와 소소한 사은품너무 감사하네요,계속쓰고 있어요,감사합니다,,,,,
N,P07,S01,13945551239,0,커버력,비비,섞어,만족,지속력,9.65,8.1,7.97,6.26,5.81
N,P07,S01,13945551239,1,만족합니다,아직 써보진 못했어요,늘 쓰는 제품이에요,맘에 듭니다 탁월한 선택입니다,미바랑 웨이크메이크랑 4대1 비율정도로 섞어서 쓰는데 커버력도 좋고 괜찮아서 다른거써보다가 두번째 구매합니다,,,,,
N,P06,S08,11153885467,0,저렴,만족,오래,가격,좋습니다,5.43,4.14,3.46,3.27,3.03
N,P06,S08,11153885467,1,만족합니다,배송이 빠르네요,아직 사용 하지 않았지만 구매평이 좋아 잘 산것 같습니다,좋아요,같이 준 앞머리고정하는 하트모양 헤어고정찍찍이 도 감사해요,,,,,
N,P07,S01,17294654530,0,커버,발림성,저렴하게,가격,좋습니다,8.91,8.36,6.59,6.09,5.83
N,P07,S01,17294654530,1,없이 주문했는데 용량이 넘작아요담에슨 더 큰걸로 사야겠어요,보통 비비 저렴해서 사봤어요,크림에센스부터시작해 기초까지 다샀어요,색상도 굳,만족합니다,,,,,
N,P06,S27,82286334232,0,눈썹,그리,지속력,색이,오래,26.12,15.58,14.17,13.92,12.21
N,P06,S27,82286334232,1,발색이 그리 오래가지는 않아요,좋은데 삼지창 모양이라 정교한 마무리 부분에 있어서는 조금 불편하긴 한데 나름 가성비좋게 구매해서 잘 쓰고 있어요,하지만 당일은 눈썹 신경안써도 되는 장점하지만 또 밤에 그려야만 다음날 효과있는그리는 시간이 아침화장에서 밤화장으로 바뀐 묘함,그래도 무난하게 쓰기 좋네용 사진은 3일정도 지난상태입니다,밤에 터치하고 아침에 세수하면 자연스럽게 연출되서 넘 맘에들어요,,,,,
N,P08,S35,28759260557,0,시원,좋습니다,만족,재구매,쿨링,14.81,10.79,7.29,5.83,3.16
N,P08,S35,28759260557,1,아주 시원하니 좋아요,처음 접한 청결제가 포블랑시 였는데 다시돌아오게되네요가격은있지만 그만큼 청량감과 성분도 좋고쓰고나면 깨끗하게 가꿀수 있어 더좋아요,시원하고 개운합니다,군대라 사진은 안되지만 후기 남기자면 아잉이만 혹한기 훈련받는 느낌에 냄새도 좋았어용,저번에 남자친구가 사용해보더니 좋다구 해서 이번에 선물해줬어요,,,,,
N,P07,S01,80097758981,0,재구매,커버,촉촉,만족,좋습니다,11.25,10.23,8.53,8.49,7.13
N,P07,S01,80097758981,1,잘받았습니다,음 처음 개봉 했을때 스티커 떼자나요거기 다 뭍어있어서 좀 그랬어요,재구매늘 쓰는 제품입니다,재구매감사합니다,워터풀이란 이름과는 다르게 굉장히 매트해요,,,,,
N,P07,S01,14942798064,0,레노덤,재구매,커버,촉촉,만족,15.65,6.19,5.58,5.4,5.32
N,P07,S01,14942798064,1,너무너무 좋기 들뜸도 없고 짱조아요,배송도 빠르고 퍼프도 더 챙겨주셔서 좋아요,배송 빠릅니다,무엇보다 트러블이 안남 그러나 물광 장난아니라서 싫으신분들은 양 조절 잘해야할듯용,쓰는 만큼 짜서 쓸수 있는게 위생적이여서 좋았고 뻑뻑하지않고 부드럽게 발려서 좋아요지복합성 피부라 유분기가 있는 저에게 끈적임이 느껴지지 않아 만족스럽네요,,,,,
N,P07,S01,23298052494,0,성분이,커버,비비,만족,발림성,12.11,7.08,6.78,5.55,4.43
N,P07,S01,23298052494,1,지속력이나 커버력은 약하지만 성분이착해서 부담이없고 트러블없고 눈시림없어서좋아요,디렉터파이님의 추천으로 사용해봤는데 발림성 좋고 이만하면 커버력도 좋아요,커버력 생각보다 좋아요,살짝 어두운 피부긴한데 너무 하얗게 뜨네요 와이프 줬습니다,커버력 색감 수분감 지속력 모두 좋아요,,,,,
N,P04,S43,23344384491,0,촉촉,있어요,당근,자극,재구매,21.32,11.33,8.52,7.45,7.24
