SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P05,S06,21635899953,1,지속력은 오래 못가네요,상품 빠르고 안전하게 왔어요,다른 립밤에 비해 색이 진하게 나는 편이라 립스틱처럼 각질 일어날까 걱정했는데립밤처럼 부드럽게 발리고 각질이 안 일어나서 만족합니다,색도 자연스럽게 예쁘고 아주 맘에들어요,강력추천해요,,,,,
N,P08,S13,28417039554,0,세타필,저렴하게,좋습니다,촉촉하고,만족,10.6,8.16,6.88,6.32,5.55
N,P08,S13,28417039554,1,좋구요,좋습니다,원래 구매하던 제품인데 싸게 구입 해서 너무 좋았어요,잘 쓰겠습니다,좋아요,,,,,
N,P02,S25,10933825800,0,저렴하게,향도,아빠,만족,좋습니다,10.84,9.81,7.52,7.03,6.96
N,P02,S25,10933825800,1,아버님께서 마음에 들어하시네요,쓰던제품이라 재구매했어요,놀러갈때 쓰기엔 너무 부담이 크기도하고 깨질것같고 그래서 공간도 많이차지하구요,항상쓰던거라 계속 주문해서 사용합니다제품 좋아요,저렴하게 구매했습니다,,,,,
N,P07,S01,82262950953,0,감사합니다,빠르,저렴,,,1.64,1.41,1.06,,
N,P07,S01,82262950953,1,처음,감사합니다,제품에  유통기한이 없어서 그게 아쉽긴하나  싸게 잘 구입했습니다,직구라 오래 걸릴줄 알았는데 일주일도 안걸리네요,배송도 빠르네요,,,,,
N,P07,S01,11053484957,0,섞어,파데랑,파운데이션이랑,발림성,에르보리앙,12.51,8.38,5.28,4.11,3.35
N,P07,S01,11053484957,1,다른 비비 크림에 비해서 매트한 편에 속하는 비비크림이에요,색상만 보고 샀다가 얼굴에 너무 건조해서 못쓰던 파운데이션이 아주 밀착력있게 잘 올라갑니다,비비만 단독으로 사용해봤는데 역시 색이 좀 아쉽네요,CC와 BB모두 궁금했던 에르보리앙제품  두제품 모두 적당하게 좋은가격으로 받아볼수있어서 너무좋습니다,발림성은 좋습니다,,,,,
N,P12,S03,12851880718,0,저렴하게,향도,머릿결이,만족,가격,9.37,9.3,7.44,6.0,5.93
N,P12,S03,12851880718,1,싸게구매했어요,항상 쓰던거라 만족해요,매일 쓰는겁니다,아직 써보진않았지만 미쟝센 헤어 젤 그건 몇년째 쓰고 있어서 기대가 큽니다,린스는 많이 안써서 일부러 2개단위 잇는걸로  주문햇는데 두고두고 넉넉히 쓸거같아요,,,,,
N,P07,S01,28160221523,0,비비,커버,셀본,자연스럽게,촉촉,6.96,5.86,5.78,5.55,3.51
